parameter,sparsity,loss,top1_acc
conv1,0.0,0.04577030785642564,0.98580002784729
conv1,0.05,1.3720917608261107,0.7085999846458435
conv1,0.1,0.14083837575614452,0.9567000269889832
conv1,0.15000000000000002,0.14083836894631385,0.9567000269889832
conv1,0.2,1.3720917472839356,0.7085999846458435
conv1,0.25,1.1095147430419923,0.8070999979972839
conv1,0.30000000000000004,0.10869234104454517,0.9660999774932861
conv1,0.35000000000000003,1.9363007656097413,0.5557000041007996
conv1,0.4,2.1141052684783936,0.5659000277519226
conv1,0.45,2.125975587463379,0.5740000009536743
conv1,0.5,4.408058682632446,0.3199999928474426
conv1,0.55,2.7340922061920168,0.5123000144958496
conv1,0.6000000000000001,2.7071012714385985,0.46639999747276306
conv1,0.65,5.044571234893799,0.24879999458789825
conv1,0.7000000000000001,4.552725121688843,0.2842999994754791
conv1,0.75,6.105471503448486,0.12680000066757202
conv1,0.8,3.986732174682617,0.29899999499320984
conv1,0.8500000000000001,6.6332778701782225,0.11389999836683273
conv1,0.9,3.6015754615783693,0.266400009393692
conv1,0.9500000000000001,5.670355556488037,0.1517000049352646
conv2,0.0,0.045770307982712984,0.98580002784729
conv2,0.05,0.05909008450061083,0.9815000295639038
conv2,0.1,0.07674550926685333,0.9765999913215637
conv2,0.15000000000000002,0.06599367851763964,0.9785000085830688
conv2,0.2,0.21665811939239502,0.9302999973297119
conv2,0.25,0.587216865158081,0.8201000094413757
conv2,0.30000000000000004,0.2475000346660614,0.9193999767303467
conv2,0.35000000000000003,0.7385508476257324,0.779699981212616
conv2,0.4,0.5764756994605065,0.8413000106811523
conv2,0.45,1.5676592109680176,0.5882999897003174
conv2,0.5,0.399214288187027,0.8668000102043152
conv2,0.55,1.248273535346985,0.6554999947547913
conv2,0.6000000000000001,2.9319527767181395,0.490200012922287
conv2,0.65,1.7726987155914307,0.5494999885559082
conv2,0.7000000000000001,2.712350421142578,0.36169999837875366
conv2,0.75,4.239637035751342,0.2248000055551529
conv2,0.8,4.643261817169189,0.12200000137090683
conv2,0.8500000000000001,6.260383917236328,0.09380000084638596
conv2,0.9,3.595533124923706,0.243599995970726
conv2,0.9500000000000001,6.7202594894409176,0.10010000318288803
linear1,0.0,0.045770307693630455,0.98580002784729
linear1,0.05,0.0493684202387929,0.9842000007629395
linear1,0.1,0.05366740562468767,0.982699990272522
linear1,0.15000000000000002,0.06514951880946755,0.9785000085830688
linear1,0.2,0.059745549489557744,0.9824000000953674
linear1,0.25,0.06737718768715859,0.9811999797821045
linear1,0.30000000000000004,0.06651539094448089,0.9819999933242798
linear1,0.35000000000000003,0.09139861619472503,0.9747999906539917
linear1,0.4,0.10651592392921448,0.9703999757766724
linear1,0.45,0.19050186734199523,0.9459999799728394
linear1,0.5,0.24948391370773315,0.925599992275238
linear1,0.55,0.24950479483604432,0.9315000176429749
linear1,0.6000000000000001,0.2809188009262085,0.934499979019165
linear1,0.65,0.45764891123771667,0.8765000104904175
linear1,0.7000000000000001,0.6090591222763061,0.8253999948501587
linear1,0.75,1.0652222177505493,0.619700014591217
linear1,0.8,1.314428741836548,0.5827000141143799
linear1,0.8500000000000001,2.409713703918457,0.2078000009059906
linear1,0.9,2.2398069728851318,0.2644999921321869
linear1,0.9500000000000001,2.999948719787598,0.19619999825954437
linear2,0.0,0.04577030725181103,0.98580002784729
linear2,0.05,0.045204150145314634,0.9861000180244446
linear2,0.1,0.04844272571504116,0.9854999780654907
linear2,0.15000000000000002,0.05175817636847496,0.984499990940094
linear2,0.2,0.054095252455770966,0.9836999773979187
linear2,0.25,0.059041344946622845,0.9833999872207642
linear2,0.30000000000000004,0.08911409744620323,0.9771999716758728
linear2,0.35000000000000003,0.06898647258281708,0.9843999743461609
linear2,0.4,0.1251601102054119,0.9725000262260437
linear2,0.45,0.11465861477851867,0.9803000092506409
linear2,0.5,0.1215485639333725,0.9819999933242798
linear2,0.55,0.1806284699678421,0.9775999784469604
linear2,0.6000000000000001,0.20433900792598725,0.9800999760627747
linear2,0.65,0.3514645688056946,0.972100019454956
linear2,0.7000000000000001,0.4584058952331543,0.9621999859809875
linear2,0.75,0.6191440547943116,0.9617000222206116
linear2,0.8,0.9090204305648804,0.8672999739646912
linear2,0.8500000000000001,1.2193512062072753,0.7301999926567078
linear2,0.9,1.4945388370513917,0.4708999991416931
linear2,0.9500000000000001,1.7893442991256714,0.5389000177383423
